X;Y;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;org_fid;distance
5.8669137;51.8373818;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0
5.86699472467428;51.8373231911085;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0001
5.86707574934855;51.8372645822171;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0002
5.86715677402283;51.8372059733256;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0003
5.8672377986971;51.8371473644341;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0004
5.86731882337138;51.8370887555427;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0005
5.86740191111605;51.8370332019024;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0006
5.86748655020483;51.8369799456854;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0007
5.8675711892936;51.8369266894684;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0008
5.86765582838238;51.8368734332514;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0009
5.86774046747115;51.8368201770343;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.001
5.86782510655993;51.8367669208173;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0011
5.86790974564871;51.8367136646003;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0012
5.8679964607407;51.8366639747097;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0013
5.8680845665737;51.8366166739466;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0014
5.8681726724067;51.8365693731835;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0015
5.8682607782397;51.8365220724203;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0016
5.86834888407269;51.8364747716572;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0017
5.86843698990569;51.8364274708941;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0018
5.86852509573869;51.836380170131;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0019
5.86861320157169;51.8363328693679;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.002
5.86870130740469;51.8362855686047;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0021
5.86878941323768;51.8362382678416;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0022
5.86887751907068;51.8361909670785;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0023
5.86896562490368;51.8361436663154;Zevenheuvelenloop;;;;;;-1;0;-1;;;1;0.0024
